fips,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01001,61.05384615384615,47.773809523809526,45.119760479041915,,,,,,,37.92063492063492,51.244360902255636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,,,,,,,,,,,,,,,,,,,,,66.98054474708171,49.293286219081274,42.618705035971225,45.884892086330936,49.72693726937269,49.13779527559055,54.135714285714286,48.97026022304833,40.72075471698113,37.65079365079365,46.003649635036496,46.50354609929078,41.528169014084504,37.32234432234432,39.98571428571429,38.11363636363637,37.505376344086024,37.50370370370371,36.82962962962963,38.291512915129154,34.90334572490706,35.15,27.263157894736842
01005,,,,,,,,,,,,,,,,,,,,,,,,44.333333333333336,49.53061224489796,47.779661016949156,38.09090909090909,,,,,,,,,,,,,,,,
01015,,,,,,,,,,,25.454545454545453,26.789473684210527,22.633333333333333,23.01923076923077,21.803571428571427,20.864406779661017,17.0188679245283,20.982456140350877,23.886363636363637,,,,,,,,,,,,,,,,,,,,,,,,
01027,,,,,,,,,,,,22.585714285714285,28.486725663716815,48.64705882352941,43.141643059490086,51.703363914373085,54.0,57.177570093457945,65.61032863849765,68.64468864468864,53.72693726937269,52.7921146953405,52.20938628158845,48.26642335766423,47.3356890459364,50.47872340425532,52.42307692307692,54.91519434628975,42.518181818181816,36.252100840336134,41.690265486725664,41.355932203389834,36.06611570247934,33.03389830508475,36.280701754385966,33.25892857142857,30.620689655172413,32.45762711864407,28.990909090909092,31.149532710280372,27.833333333333332,28.0,26.894736842105264
01033,,,,,,,,,,,21.379310344827587,21.912280701754387,19.74137931034483,20.9,51.10877192982456,39.95757575757576,16.14814814814815,17.45762711864407,20.291666666666668,60.09756097560975,55.320754716981135,46.78,47.10204081632653,45.5615141955836,43.7536231884058,50.85251798561151,48.99290780141844,52.77031802120141,44.07581227436823,43.06191950464396,48.55492957746479,43.261648745519715,42.957597173144876,37.44561403508772,37.647887323943664,35.78928571428571,37.87234042553192,36.15547703180212,35.63537906137184,35.52091254752852,,,
01043,,,,58.241706161137444,54.29615384615385,50.43457943925234,69.52450980392157,61.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01049,,,,,,,,,,,61.983333333333334,45.546783625730995,43.84813753581662,50.666666666666664,43.79538904899135,57.526315789473685,51.76,44.62540716612378,61.33057851239669,71.1987951807229,62.728813559322035,55.12054794520548,50.75833333333333,47.99445983379501,45.93905817174515,46.212290502793294,52.25895316804408,55.129834254143645,45.45205479452055,38.289256198347104,46.86312849162011,42.62797619047619,43.70360110803324,38.46666666666667,39.59166666666667,38.11845730027548,41.002873563218394,38.239554317548745,36.72,39.71191135734072,35.97802197802198,36.99168975069252,35.101694915254235
01051,,,,,,,,,,,53.776892430278885,42.19291338582677,45.669117647058826,51.776595744680854,39.35015772870663,39.25084745762712,50.20338983050848,49.98360655737705,57.55924170616114,50.07883817427386,62.421487603305785,49.273858921161825,48.614107883817425,45.11666666666667,46.85294117647059,43.27916666666667,50.881147540983605,49.90163934426229,45.86938775510204,35.614754098360656,46.22821576763486,44.29338842975206,40.628571428571426,36.24180327868852,37.94285714285714,35.31330472103004,40.042735042735046,34.3716814159292,35.328828828828826,38.421052631578945,30.360406091370557,32.12033195020747,
01053,,,,,,,,,,,27.728813559322035,24.446428571428573,25.64406779661017,25.425925925925927,24.566666666666666,24.75409836065574,22.166666666666668,23.81967213114754,26.737704918032787,23.086206896551722,57.63865546218487,45.69565217391305,45.621848739495796,47.710743801652896,47.0990990990991,49.5045045045045,49.12396694214876,49.74766355140187,,,,,,,,,,,,,,,
